Department,DocumentType,Geography,Technology,Domain,Client,FileType,Description,Link
TFTPL,Corporate Deck,UAE,General,General,WithoutClient,Powerpoint,UAE Specific Corporate Deck without Clientele,https://docs.google.com/presentation/d/1SXRTUKRe-M4C0lQMXgllDQ8RAeTfE60b/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Salesforce,Testing/QA,,Powerpoint,,https://docs.google.com/presentation/d/1KGVmfe9ITKxW_AGOtJ5Idnlf-yya-Auk/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,Global,Salesforce,General,,Powerpoint,,https://docs.google.com/presentation/d/1DE7J0d79Jfoz5x0sMmP2On6kVowp1hEC/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,UAE,QA,Testing/QA,,Powerpoint,,https://docs.google.com/presentation/d/1iAaXgFgg4aRTuihosm8TvCG7vdXyR7jK/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,Global,QA,Testing/QA,,Powerpoint,,https://docs.google.com/presentation/d/1lNKOUvEiIWNbKBzz23ST8zS7x7UCY_QY/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,Global,Business Intelligence,General,,Powerpoint,,https://docs.google.com/presentation/d/195INxtDETz2udT-eYajPfvbu-RUd-9DI/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,UAE,Business Intelligence,General,,Powerpoint,,https://docs.google.com/presentation/d/1BAukLV3MUwmdIIPeIAi-C5n1jN0bxzhl/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,UAE,"Data Engineering ",General,,Powerpoint,,https://docs.google.com/presentation/d/1akOgPn1BOApeWFwUFGm6JLduCvaHWEw_/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,"Automation Testing ",Telecom,,Powerpoint,,https://docs.google.com/presentation/d/1ZBzZZeXb-zrhcdNyHDPSdcxg238uDwHr/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,"Automation Testing ",Ecommerce,,Powerpoint,,https://docs.google.com/presentation/d/17xxCp-ef8rsZTEi-JaBgkvWXdo60x8Ou/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,UAE,Design,General,,Powerpoint,,https://docs.google.com/presentation/d/1IBmFrhKgo2e-Ap-jjqbMNsPvuPcplpY_/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,"Automation Testing ",Ed-Tech,,Powerpoint,,https://docs.google.com/presentation/d/1DM_-RdHR4A9eFwrwT1xtRyhwpq-vTyzR/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,"Automation Testing ",Healthcare,,Powerpoint,,https://docs.google.com/presentation/d/1_BWGwBpMImuULtg1CeNVeFdYWDEj85R3/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Salesforce,Internet & Tech,,Powerpoint,,https://docs.google.com/presentation/d/1PkoRuH6YDrj3UxIVjz457t-lP8exipFe/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,"Automation Testing ",Internet & Tech,,Powerpoint,,https://docs.google.com/presentation/d/1ljy6rTYnh9n2f9mdf0LXD1t7HNLrL-l9/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,UAE,Web App Dev,Ecommerce,,Powerpoint,,https://docs.google.com/presentation/d/1GZhr3H2mYTnLkUMFqWxEQdQVL7Euz1on/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,UAE,Web App Dev,Fin-Tech,,Powerpoint,,https://docs.google.com/presentation/d/1wPEaxHRif4gybcI3FjvibBM330QUr09y/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Security,General,,Powerpoint,,https://docs.google.com/presentation/d/17Coq0ncyO5A4nQ4RkehSVrIIIHMFeAvL/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Corporate Deck,Israel,General,General,WithClient,Powerpoint,Israel Specific Corporate Deck with Clientele,https://docs.google.com/presentation/d/1uY11SWm9SQLOC82nChd6YuSenV5F3_jv/edit?usp=drive_link&ouid=112436391091007077656&rtpof=true&sd=true
